id,height,width,all_diff,total_act,adult_males_dots,subadult_males_dots,adult_females_dots,juveniles_dots,pups_dots,                 adult_males_act,subadult_males_act,adult_females_act,juveniles_act,pups_act
80,3744,5616,1,30,0,12,0,19,0,0,11,0,19,0
82,3328,4992,0,54,0,0,37,17,0,0,0,37,17,0
83,3328,4992,4,93,5,2,44,44,0,5,2,45,41,0
84,3744,5616,0,14,1,1,0,12,0,1,1,0,12,0
85,3328,4992,0,1,0,1,0,0,0,0,1,0,0,0
86,3328,4992,0,12,2,2,4,2,2,2,2,4,2,2
87,3328,4992,1,66,7,1,43,16,0,7,1,42,16,0
88,3744,5616,0,28,1,2,1,24,0,1,2,1,24,0
90,3328,4992,0,30,1,0,17,12,0,1,0,17,12,0
91,3744,5616,1,403,17,0,229,1,157,17,0,229,1,156
92,3744,5616,0,11,3,5,1,1,1,3,5,1,1,1
93,3744,5616,2,350,24,21,144,99,62,23,21,144,100,62
94,3328,4992,0,25,4,4,17,0,0,4,4,17,0,0
95,3328,4992,0,82,5,0,19,58,0,5,0,19,58,0
96,3328,4992,0,184,9,3,167,5,0,9,3,167,5,0
98,3744,5616,0,6,0,6,0,0,0,0,6,0,0,0
99,3744,5616,2,83,3,1,13,68,0,3,1,11,68,0
100,3328,4992,0,96,12,3,50,4,27,12,3,50,4,27
101,3744,5616,0,151,10,0,85,56,0,10,0,85,56,0
102,3328,4992,0,181,13,0,92,3,73,13,0,92,3,73
103,3328,4992,0,3,3,0,0,0,0,3,0,0,0,0
104,3328,4992,0,87,3,3,38,43,0,3,3,38,43,0
105,3328,4992,5,50,2,0,33,17,3,2,0,32,13,3
106,3744,5616,0,9,0,4,0,5,0,0,4,0,5,0
107,3744,5616,0,24,7,11,3,1,2,7,11,3,1,2
108,3744,5616,1,10,4,4,0,3,0,3,4,0,3,0
109,3328,4992,0,72,4,2,35,4,27,4,2,35,4,27
110,3328,4992,2,210,16,8,95,13,80,16,8,95,13,78
111,3744,5616,0,275,23,9,123,40,80,23,9,123,40,80
112,3744,5616,0,608,11,20,387,190,0,11,20,387,190,0
113,3328,4992,0,22,0,9,10,3,0,0,9,10,3,0
114,3744,5616,0,33,5,7,12,0,9,5,7,12,0,9
115,3744,5616,0,17,0,13,0,4,0,0,13,0,4,0
116,3744,5616,0,13,0,0,4,9,0,0,0,4,9,0
117,3328,4992,0,2,0,1,1,0,0,0,1,1,0,0
118,3744,5616,0,55,1,1,10,43,0,1,1,10,43,0
119,3328,4992,0,46,7,7,19,2,11,7,7,19,2,11
120,3328,4992,0,11,2,0,5,1,3,2,0,5,1,3
121,3744,5616,0,171,6,1,90,7,67,6,1,90,7,67
122,3744,5616,5,104,11,43,40,15,0,11,43,37,13,0
123,3328,4992,0,1,0,0,1,0,0,0,0,1,0,0
124,3744,5616,0,261,19,8,104,84,46,19,8,104,84,46
125,3328,4992,0,80,6,1,36,29,8,6,1,36,29,8
126,3744,5616,1,301,35,14,127,7,117,36,14,127,7,117
127,3744,5616,2,89,1,10,15,65,0,1,9,15,64,0
128,3744,5616,0,129,11,22,53,43,0,11,22,53,43,0
129,3744,5616,7,39,0,3,0,43,0,0,3,0,36,0
130,3744,5616,0,103,13,30,43,17,0,13,30,43,17,0
131,3744,5616,0,116,5,11,25,73,2,5,11,25,73,2
132,3328,4992,0,4,2,2,0,0,0,2,2,0,0,0
133,3328,4992,0,6,1,1,2,2,0,1,1,2,2,0
134,3328,4992,2,25,3,2,15,7,0,3,2,14,6,0
135,3744,5616,0,15,1,0,10,4,0,1,0,10,4,0
136,3744,5616,1,34,1,9,3,22,0,1,9,3,21,0
137,3328,4992,0,9,6,3,0,0,0,6,3,0,0,0
138,3328,4992,0,38,1,0,25,12,0,1,0,25,12,0
139,3744,5616,0,23,2,4,9,0,8,2,4,9,0,8
140,3328,4992,0,3,1,2,0,0,0,1,2,0,0,0
141,3744,5616,0,49,5,28,0,16,0,5,28,0,16,0
142,3328,4992,0,10,1,1,3,5,0,1,1,3,5,0
143,3328,4992,0,1,0,1,0,0,0,0,1,0,0,0
144,3328,4992,0,46,8,0,18,0,20,8,0,18,0,20
145,3328,4992,0,143,4,9,60,70,0,4,9,60,70,0
146,3328,4992,1,57,4,1,25,23,5,4,1,24,23,5
147,3328,4992,0,84,6,4,44,4,26,6,4,44,4,26
148,3744,5616,2,7,0,3,0,6,0,0,2,0,5,0
149,3744,5616,0,9,2,5,0,2,0,2,5,0,2,0
150,3328,4992,0,2,0,2,0,0,0,0,2,0,0,0
152,3744,5616,0,9,5,4,0,0,0,5,4,0,0,0
153,3744,5616,0,39,12,27,0,0,0,12,27,0,0,0
154,3328,4992,0,106,6,13,62,25,0,6,13,62,25,0
155,3744,5616,1,217,23,11,114,5,65,23,11,114,5,64
156,3328,4992,0,14,2,1,11,0,0,2,1,11,0,0
157,3744,5616,0,17,1,1,15,0,0,1,1,15,0,0
158,3328,4992,0,200,20,0,90,3,87,20,0,90,3,87
159,3744,5616,0,6,0,6,0,0,0,0,6,0,0,0
160,3328,4992,0,311,12,5,199,65,30,12,5,199,65,30
161,3328,4992,0,12,2,5,5,0,0,2,5,5,0,0
162,3744,5616,0,100,4,1,58,37,0,4,1,58,37,0
163,3744,5616,0,195,11,8,89,15,72,11,8,89,15,72
164,3744,5616,0,478,32,15,248,14,169,32,15,248,14,169
165,3328,4992,0,14,2,5,4,3,0,2,5,4,3,0
166,3328,4992,0,91,5,5,56,25,0,5,5,56,25,0
167,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
168,3744,5616,0,116,6,4,5,101,0,6,4,5,101,0
169,3328,4992,0,66,4,2,35,14,11,4,2,35,14,11
170,3328,4992,2,162,10,0,82,4,68,10,0,81,4,67
171,3744,5616,0,63,0,23,3,37,0,0,23,3,37,0
172,3744,5616,0,31,2,0,6,23,0,2,0,6,23,0
173,3328,4992,0,16,4,0,6,6,0,4,0,6,6,0
174,3744,5616,1,67,4,0,35,0,29,4,0,34,0,29
175,3744,5616,2,23,2,1,4,18,0,2,0,4,17,0
176,3328,4992,0,180,17,9,92,6,56,17,9,92,6,56
177,3744,5616,1,19,2,10,0,8,0,2,9,0,8,0
178,3744,5616,3,3,2,0,2,2,0,2,0,1,0,0
179,3744,5616,2,6,2,5,0,1,0,0,5,0,1,0
180,3744,5616,0,15,3,1,7,4,0,3,1,7,4,0
181,3744,5616,2,99,6,6,49,38,2,6,6,48,37,2
182,3328,4992,0,26,1,2,13,10,0,1,2,13,10,0
183,3744,5616,0,72,6,7,31,28,0,6,7,31,28,0
185,3328,4992,0,30,8,1,13,0,8,8,1,13,0,8
186,3744,5616,1,265,3,5,112,146,0,3,4,112,146,0
187,3744,5616,3,1101,56,14,592,8,434,54,14,591,8,434
188,3744,5616,0,33,1,3,10,19,0,1,3,10,19,0
189,3744,5616,0,644,64,40,382,23,135,64,40,382,23,135
190,3744,5616,0,9,1,0,2,6,0,1,0,2,6,0
191,3744,5616,0,6,1,5,0,0,0,1,5,0,0,0
192,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
193,3744,5616,0,47,2,1,29,15,0,2,1,29,15,0
194,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
195,3328,4992,0,91,4,0,63,24,0,4,0,63,24,0
196,3328,4992,0,201,12,8,106,11,64,12,8,106,11,64
197,3328,4992,0,157,7,3,79,6,62,7,3,79,6,62
198,3744,5616,0,5,3,2,0,0,0,3,2,0,0,0
199,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
200,3328,4992,0,102,36,3,56,2,5,36,3,56,2,5
201,3744,5616,0,101,9,2,44,13,33,9,2,44,13,33
202,3744,5616,0,37,3,0,11,23,0,3,0,11,23,0
203,3744,5616,0,120,8,8,43,59,2,8,8,43,59,2
204,3744,5616,0,20,4,8,1,6,1,4,8,1,6,1
205,3744,5616,0,228,14,1,135,10,68,14,1,135,10,68
206,3744,5616,0,26,0,5,1,19,1,0,5,1,19,1
207,3744,5616,7,4,1,1,3,4,0,0,2,0,2,0
208,3328,4992,0,7,4,3,0,0,0,4,3,0,0,0
209,3744,5616,0,14,4,9,0,1,0,4,9,0,1,0
210,3744,5616,0,27,2,9,1,15,0,2,9,1,15,0
211,3328,4992,1,471,19,5,185,20,243,19,4,185,20,243
212,3328,4992,0,26,4,6,16,0,0,4,6,16,0,0
213,3744,5616,0,99,11,12,26,44,6,11,12,26,44,6
214,3744,5616,2,32,6,0,18,5,5,4,0,18,5,5
216,3328,4992,2,66,6,0,29,0,33,5,0,28,0,33
217,3328,4992,0,314,16,4,140,12,142,16,4,140,12,142
218,3744,5616,2,3,0,2,1,1,1,0,2,0,1,0
219,3328,4992,0,94,11,7,37,39,0,11,7,37,39,0
220,3328,4992,0,1,0,1,0,0,0,0,1,0,0,0
221,3744,5616,1,44,5,1,26,9,2,6,1,26,9,2
222,3328,4992,0,2,2,0,0,0,0,2,0,0,0,0
223,3328,4992,0,1,0,0,1,0,0,0,0,1,0,0
224,3744,5616,0,142,12,1,58,3,68,12,1,58,3,68
225,3328,4992,0,29,0,1,22,6,0,0,1,22,6,0
226,3744,5616,0,379,17,8,207,3,144,17,8,207,3,144
227,3744,5616,0,169,5,1,52,111,0,5,1,52,111,0
228,3328,4992,0,109,1,9,61,38,0,1,9,61,38,0
229,3328,4992,0,3,1,1,0,1,0,1,1,0,1,0
230,3744,5616,0,21,0,0,16,5,0,0,0,16,5,0
231,3328,4992,0,20,7,4,7,1,1,7,4,7,1,1
232,3744,5616,0,49,9,2,21,1,16,9,2,21,1,16
233,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
235,3744,5616,32,514,31,3,278,99,135,0,3,277,99,135
236,3744,5616,0,76,3,0,29,44,0,3,0,29,44,0
237,3328,4992,0,68,0,1,29,38,0,0,1,29,38,0
238,3744,5616,0,18,3,3,8,1,3,3,3,8,1,3
239,3744,5616,0,39,4,10,8,17,0,4,10,8,17,0
240,3744,5616,4,329,25,11,160,23,114,25,8,160,23,113
241,3744,5616,0,158,3,0,101,54,0,3,0,101,54,0
243,3328,4992,0,4,4,0,0,0,0,4,0,0,0,0
244,3744,5616,0,18,1,1,3,13,0,1,1,3,13,0
245,3328,4992,0,120,7,2,74,29,8,7,2,74,29,8
246,3744,5616,0,64,5,3,24,31,1,5,3,24,31,1
247,3328,4992,0,56,3,1,34,18,0,3,1,34,18,0
248,3744,5616,0,102,4,0,64,34,0,4,0,64,34,0
249,3744,5616,0,63,4,8,13,38,0,4,8,13,38,0
250,3328,4992,0,8,2,4,2,0,0,2,4,2,0,0
251,3744,5616,0,37,1,0,5,31,0,1,0,5,31,0
252,3744,5616,4,210,23,4,105,15,67,21,2,105,15,67
253,3328,4992,0,2,2,0,0,0,0,2,0,0,0,0
254,3744,5616,0,25,2,9,7,1,6,2,9,7,1,6
255,3744,5616,0,3,0,3,0,0,0,0,3,0,0,0
256,3744,5616,1,219,15,0,92,54,59,15,0,92,53,59
257,3744,5616,0,97,1,11,23,53,9,1,11,23,53,9
258,3744,5616,1,646,19,11,350,266,1,19,11,350,265,1
259,3328,4992,1,59,3,3,32,20,0,4,3,32,20,0
260,3744,5616,0,63,3,1,8,51,0,3,1,8,51,0
261,3328,4992,0,47,3,4,29,9,2,3,4,29,9,2
262,3328,4992,0,73,3,0,34,31,5,3,0,34,31,5
263,3744,5616,0,126,12,2,57,32,23,12,2,57,32,23
264,3328,4992,0,6,0,0,3,3,0,0,0,3,3,0
265,3744,5616,5,6,1,8,0,2,0,1,5,0,0,0
266,3328,4992,0,78,4,0,39,35,0,4,0,39,35,0
267,3328,4992,0,142,14,8,62,14,44,14,8,62,14,44
269,3328,4992,0,5,3,2,0,0,0,3,2,0,0,0
270,3744,5616,1,52,3,0,21,29,0,3,0,21,28,0
271,3328,4992,1,576,30,7,289,34,217,30,7,288,34,217
272,3744,5616,0,6,0,2,0,4,0,0,2,0,4,0
273,3744,5616,0,570,14,3,296,7,250,14,3,296,7,250
274,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
275,3328,4992,1,67,0,1,25,40,0,1,1,25,40,0
276,3328,4992,0,46,6,3,37,0,0,6,3,37,0,0
277,3328,4992,1,180,5,6,68,102,0,5,6,68,101,0
278,3744,5616,0,44,5,0,18,19,2,5,0,18,19,2
279,3744,5616,0,13,1,0,8,4,0,1,0,8,4,0
280,3328,4992,0,68,12,5,19,3,29,12,5,19,3,29
281,3328,4992,0,77,3,3,51,20,0,3,3,51,20,0
282,3744,5616,0,6,0,3,3,0,0,0,3,3,0,0
283,3328,4992,0,49,4,7,26,12,0,4,7,26,12,0
284,3328,4992,0,33,2,0,16,15,0,2,0,16,15,0
285,3744,5616,0,2,0,2,0,0,0,0,2,0,0,0
286,3744,5616,0,4,2,2,0,0,0,2,2,0,0,0
287,3328,4992,0,19,10,8,1,0,0,10,8,1,0,0
288,3328,4992,0,32,4,0,12,15,1,4,0,12,15,1
289,3328,4992,0,55,0,2,38,15,0,0,2,38,15,0
291,3744,5616,2,596,39,20,275,23,237,41,20,275,23,237
292,3744,5616,59,103,2,3,23,15,1,5,5,50,42,1
293,3744,5616,2,81,6,4,38,2,33,6,4,38,2,31
294,3744,5616,0,9,1,1,2,5,0,1,1,2,5,0
295,3328,4992,0,128,16,6,51,29,26,16,6,51,29,26
296,3744,5616,0,9,1,6,0,2,0,1,6,0,2,0
297,3744,5616,4,102,3,40,24,39,0,3,36,24,39,0
298,3744,5616,1,405,22,10,172,18,184,22,10,172,18,183
299,3744,5616,1,332,27,10,209,32,55,27,9,209,32,55
300,3328,4992,0,27,6,3,7,11,0,6,3,7,11,0
301,3744,5616,0,116,6,3,67,5,35,6,3,67,5,35
302,3744,5616,0,35,1,0,0,34,0,1,0,0,34,0
303,3744,5616,1,28,1,2,0,24,0,1,2,0,25,0
304,3744,5616,0,87,2,3,0,82,0,2,3,0,82,0
305,3328,4992,0,6,1,2,3,0,0,1,2,3,0,0
306,3744,5616,0,151,14,4,71,45,17,14,4,71,45,17
307,3744,5616,0,48,8,0,17,6,17,8,0,17,6,17
308,3744,5616,0,8,0,2,4,2,0,0,2,4,2,0
309,3328,4992,1,97,5,0,61,23,9,5,0,61,23,8
310,3328,4992,1,136,4,8,95,30,0,4,8,95,29,0
312,3328,4992,1,37,1,1,22,14,0,1,1,21,14,0
313,3328,4992,0,121,5,3,83,30,0,5,3,83,30,0
314,3328,4992,0,3,1,2,0,0,0,1,2,0,0,0
315,3744,5616,0,3,1,2,0,0,0,1,2,0,0,0
316,3328,4992,0,6,5,0,0,1,0,5,0,0,1,0
317,3328,4992,0,53,1,2,34,16,0,1,2,34,16,0
318,3744,5616,0,87,2,9,33,42,1,2,9,33,42,1
319,3744,5616,0,291,17,12,145,68,49,17,12,145,68,49
320,3328,4992,0,297,16,4,227,39,11,16,4,227,39,11
321,3744,5616,0,6,2,3,0,1,0,2,3,0,1,0
322,3328,4992,0,106,8,3,63,22,10,8,3,63,22,10
323,3328,4992,2,4,4,0,1,0,1,2,0,1,0,1
324,3744,5616,0,50,2,3,12,33,0,2,3,12,33,0
325,3744,5616,1,83,0,2,2,80,0,0,2,2,79,0
326,3328,4992,0,153,1,3,69,80,0,1,3,69,80,0
327,3328,4992,0,6,0,2,4,0,0,0,2,4,0,0
328,3328,4992,2,43,5,4,18,5,13,4,4,18,4,13
329,3328,4992,0,148,18,3,72,6,49,18,3,72,6,49
330,3328,4992,2,91,1,0,25,67,0,1,0,25,65,0
332,3744,5616,0,119,10,4,57,27,21,10,4,57,27,21
333,3744,5616,0,89,0,15,0,74,0,0,15,0,74,0
334,3744,5616,0,92,9,14,21,39,9,9,14,21,39,9
335,3744,5616,1,72,6,36,19,12,0,6,36,18,12,0
336,3744,5616,0,134,10,2,77,18,27,10,2,77,18,27
337,3744,5616,0,93,0,3,4,86,0,0,3,4,86,0
338,3744,5616,1,607,36,7,275,41,249,36,7,275,41,248
339,3328,4992,0,9,2,2,5,0,0,2,2,5,0,0
340,3744,5616,0,374,21,4,181,23,145,21,4,181,23,145
341,3744,5616,0,2,0,1,0,1,0,0,1,0,1,0
342,3744,5616,3,40,3,0,24,16,0,3,0,21,16,0
343,3744,5616,0,12,2,1,4,2,3,2,1,4,2,3
345,3328,4992,0,19,1,0,16,2,0,1,0,16,2,0
346,3744,5616,0,93,7,1,46,39,0,7,1,46,39,0
347,3744,5616,0,90,10,55,2,23,0,10,55,2,23,0
348,3744,5616,0,19,0,2,0,17,0,0,2,0,17,0
349,3328,4992,0,85,24,29,21,11,0,24,29,21,11,0
350,3744,5616,0,17,4,13,0,0,0,4,13,0,0,0
351,3328,4992,1,1,2,0,0,0,0,1,0,0,0,0
352,3744,5616,0,3,2,1,0,0,0,2,1,0,0,0
353,3328,4992,0,116,5,4,78,29,0,5,4,78,29,0
354,3328,4992,0,38,2,1,31,4,0,2,1,31,4,0
355,3744,5616,0,5,0,4,0,1,0,0,4,0,1,0
356,3328,4992,0,1,0,0,1,0,0,0,0,1,0,0
357,3328,4992,0,5,4,1,0,0,0,4,1,0,0,0
358,3744,5616,0,41,0,3,0,38,0,0,3,0,38,0
359,3744,5616,4,122,10,4,54,12,46,10,3,51,12,46
360,3744,5616,0,106,2,4,23,77,0,2,4,23,77,0
361,3328,4992,2,264,27,1,146,38,54,26,1,146,37,54
362,3328,4992,3,247,18,1,127,5,99,18,1,127,4,97
363,3744,5616,0,66,1,7,4,53,1,1,7,4,53,1
364,3328,4992,0,75,6,0,24,0,45,6,0,24,0,45
365,3744,5616,2,9,4,7,0,0,0,3,6,0,0,0
366,3744,5616,0,6,1,1,2,2,0,1,1,2,2,0
367,3744,5616,0,177,15,4,99,4,55,15,4,99,4,55
368,3328,4992,2,78,6,0,37,3,34,5,0,36,3,34
369,3744,5616,2,73,8,43,0,24,0,8,41,0,24,0
370,3744,5616,0,79,9,4,43,7,16,9,4,43,7,16
371,3744,5616,0,133,15,2,62,5,49,15,2,62,5,49
372,3744,5616,0,286,29,6,136,33,82,29,6,136,33,82
373,3744,5616,0,147,12,6,69,54,6,12,6,69,54,6
374,3328,4992,0,79,0,0,36,43,0,0,0,36,43,0
375,3328,4992,1,3,4,0,0,0,0,3,0,0,0,0
376,3328,4992,0,33,2,3,24,4,0,2,3,24,4,0
377,3328,4992,0,71,8,5,27,2,29,8,5,27,2,29
378,3328,4992,0,50,5,1,43,1,0,5,1,43,1,0
379,3744,5616,0,84,4,7,23,45,5,4,7,23,45,5
381,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
382,3744,5616,1,34,1,0,12,22,0,1,0,12,21,0
383,3744,5616,3,209,8,10,70,124,0,8,8,70,123,0
385,3328,4992,0,5,2,2,0,1,0,2,2,0,1,0
386,3744,5616,2,38,4,3,15,8,10,4,1,15,8,10
387,3328,4992,0,2,2,0,0,0,0,2,0,0,0,0
388,3744,5616,1,37,2,0,12,24,0,1,0,12,24,0
389,3328,4992,0,57,0,1,42,14,0,0,1,42,14,0
390,3744,5616,0,18,4,5,4,2,3,4,5,4,2,3
391,3744,5616,0,26,7,3,8,0,8,7,3,8,0,8
392,3328,4992,0,36,2,0,15,19,0,2,0,15,19,0
393,3328,4992,0,69,7,6,33,2,21,7,6,33,2,21
394,3744,5616,4,3,1,6,0,0,0,1,2,0,0,0
395,3328,4992,4,40,2,1,25,16,0,2,0,23,15,0
396,3744,5616,0,14,1,11,0,2,0,1,11,0,2,0
397,3328,4992,0,5,2,1,2,0,0,2,1,2,0,0
398,3744,5616,4,16,0,7,0,11,0,1,4,0,11,0
399,3744,5616,0,119,6,13,30,70,0,6,13,30,70,0
400,3328,4992,0,11,3,1,7,0,0,3,1,7,0,0
401,3744,5616,0,97,8,8,33,32,16,8,8,33,32,16
402,3744,5616,0,388,6,11,300,71,0,6,11,300,71,0
403,3744,5616,0,236,1,17,21,195,2,1,17,21,195,2
404,3328,4992,0,21,2,0,12,1,6,2,0,12,1,6
405,3744,5616,3,14,1,2,4,10,0,1,2,4,7,0
407,3328,4992,0,11,5,2,4,0,0,5,2,4,0,0
408,3744,5616,0,95,9,5,45,2,34,9,5,45,2,34
409,3744,5616,3,24,4,0,15,7,1,4,0,13,6,1
410,3744,5616,1,3,1,3,0,0,0,1,2,0,0,0
411,3744,5616,0,691,17,0,329,345,0,17,0,329,345,0
412,3744,5616,7,177,5,13,105,61,0,5,7,104,61,0
413,3744,5616,0,10,8,2,0,0,0,8,2,0,0,0
414,3744,5616,0,33,3,7,10,13,0,3,7,10,13,0
415,3328,4992,0,26,4,0,20,2,0,4,0,20,2,0
416,3744,5616,2,382,2,34,7,341,0,2,34,7,339,0
417,3328,4992,0,12,6,2,4,0,0,6,2,4,0,0
418,3744,5616,1,305,11,6,139,150,0,10,6,139,150,0
419,3328,4992,0,4,3,1,0,0,0,3,1,0,0,0
420,3744,5616,0,47,8,6,13,4,16,8,6,13,4,16
422,3328,4992,0,212,10,0,93,19,90,10,0,93,19,90
423,3744,5616,0,8,0,4,0,4,0,0,4,0,4,0
424,3328,4992,0,53,1,0,34,18,0,1,0,34,18,0
425,3744,5616,0,31,0,1,14,16,0,0,1,14,16,0
426,3744,5616,16,66,2,5,6,32,5,2,6,11,42,5
427,3744,5616,0,36,1,3,4,28,0,1,3,4,28,0
428,3328,4992,0,3,1,0,1,1,0,1,0,1,1,0
429,3744,5616,0,65,3,18,19,25,0,3,18,19,25,0
430,3328,4992,0,21,4,0,10,6,1,4,0,10,6,1
431,3744,5616,2,13,0,2,5,8,0,0,1,5,7,0
432,3328,4992,0,58,4,8,23,23,0,4,8,23,23,0
433,3744,5616,2,51,0,3,5,41,0,0,3,5,43,0
434,3744,5616,0,132,7,3,21,101,0,7,3,21,101,0
435,3744,5616,0,24,0,4,1,19,0,0,4,1,19,0
436,3328,4992,0,3,2,1,0,0,0,2,1,0,0,0
437,3328,4992,6,442,36,1,215,4,192,30,1,215,4,192
438,3744,5616,0,313,15,6,169,0,123,15,6,169,0,123
439,3328,4992,0,42,2,3,21,16,0,2,3,21,16,0
440,3744,5616,0,26,2,13,4,7,0,2,13,4,7,0
441,3744,5616,1,24,1,0,8,16,0,1,0,8,15,0
442,3744,5616,0,31,1,2,5,23,0,1,2,5,23,0
443,3328,4992,0,52,4,1,12,35,0,4,1,12,35,0
444,3744,5616,0,5,1,4,0,0,0,1,4,0,0,0
445,3744,5616,0,28,1,0,11,16,0,1,0,11,16,0
446,3328,4992,0,123,9,1,62,19,32,9,1,62,19,32
447,3744,5616,0,6,0,4,0,2,0,0,4,0,2,0
448,3744,5616,1,7,1,1,2,1,1,2,1,2,1,1
449,3744,5616,0,7,1,6,0,0,0,1,6,0,0,0
450,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
451,3744,5616,0,78,2,3,44,29,0,2,3,44,29,0
452,3744,5616,1,359,35,7,207,9,100,36,7,207,9,100
453,3744,5616,0,32,2,1,9,20,0,2,1,9,20,0
454,3744,5616,0,65,2,5,22,35,1,2,5,22,35,1
