,id,adult_males,subadult_males,adult_females,juveniles,pups,r_mean,g_mean,b_mean,r_std,g_std,b_std,r_max,g_max,b_max,r_min,g_min,b_min,r_kurtosis,g_kurtosis,b_kurtosis,r_skewness,g_skewness,b_skewness
26,26,0,8,0,4,0,68.1222125587,94.4399531681,108.85012285,50.6080512154,40.5307360355,36.3236855444,255,255,255,13,23,28,4.00216639096,5.60811128155,6.19139359083,2.18327391024,2.43543998895,2.48232602867
27,27,1,4,0,8,0,81.2503242412,93.8804288497,100.948004086,63.3258166839,56.2478671202,51.9961012809,255,255,255,4,17,12,1.24329240604,1.70918935193,2.02568333457,1.52370405338,1.67041542909,1.74097425856
28,28,2,0,0,0,0,122.475910816,130.087456641,132.374543394,45.3066049049,43.0222404,43.6108208261,255,255,255,2,10,3,2.46042212246,2.53702736719,2.10342458502,1.24328010579,1.08648299295,0.88944333551
29,29,4,4,44,15,0,95.7403479852,103.337586051,107.156708769,55.9666055366,55.9620468773,57.3538513843,255,255,255,3,6,3,0.430237593787,0.271093069573,0.129929995808,1.20905077632,1.08768731207,0.976851663637
30,30,2,0,1,3,0,107.392353469,112.699843567,116.458292188,42.5020636478,40.8536252058,39.1062750462,255,255,255,18,18,17,2.36953409052,2.48482587031,2.71220115753,1.66037591928,1.56876756783,1.41118692795
31,31,3,2,20,76,1,123.19902441,128.105437759,114.197316031,39.2293236679,37.634140269,47.0922639989,255,255,255,9,15,3,1.74915875293,1.77494083329,-0.104436570089,0.693697240963,0.267339337843,0.185885526119
32,32,18,6,159,18,111,111.919732398,114.954884251,115.469052593,58.293586715,61.4964851776,64.7854066901,252,252,253,9,12,10,-0.26536356065,-0.559942527454,-0.742860502827,0.865316359149,0.824296095078,0.757830593105
33,33,0,1,18,8,0,126.99873206,143.862354628,149.753930385,63.8442679748,55.2663220169,50.9454974161,255,255,255,22,22,23,-0.744055603417,-0.649556645035,-0.491215897651,0.785842530907,0.548441602526,0.534012769122
34,34,4,1,127,237,0,134.96818065,150.878069333,143.215774544,59.6897438334,46.3187695389,38.6058700629,255,255,255,35,48,19,-0.664933809736,-0.191618751682,1.7089071581,0.958500063636,0.972488263645,1.01322708105
35,35,4,1,0,0,0,118.606141012,124.626488103,121.172806625,50.4090790283,47.4466743737,50.0039561607,255,255,255,1,8,1,0.468987169178,0.708189370035,0.462259730116,0.751991765385,0.854933723232,0.874987398163
36,36,9,19,0,0,0,148.701465471,157.321137038,161.524109768,74.2721804346,65.264970354,54.1556409208,255,255,255,37,43,48,-1.58096366281,-1.55429697363,-1.29135608871,0.353023611432,0.394356198565,0.53738560017
37,37,1,2,5,0,0,80.3025036581,90.1367953773,95.7136695195,50.6421989462,52.7079207969,54.80078482,234,235,239,10,11,8,0.423383432033,-0.154707646739,-0.378630006525,1.12070371908,0.90118549917,0.778606727648
38,38,3,0,36,2,0,124.592746665,132.596317493,137.080423487,19.7416311534,16.8556904607,15.8905307306,255,255,255,40,47,36,16.150365595,19.4898344373,17.5359194524,3.59252761521,3.7363060662,2.80974522837
39,39,10,14,62,10,15,58.5040222342,70.6977127032,67.4740731238,40.1438287964,37.9307408441,36.9948018993,246,246,250,1,3,1,0.94925181287,0.0321468341311,0.264509860576,1.07109833119,0.428020682208,0.508963783079
40,40,2,2,63,8,0,111.397060868,127.14067002,138.164436864,65.693387796,58.5046278767,53.2636815045,255,255,255,1,1,1,0.0538801982011,0.110028686825,0.178390662347,1.1727203189,1.22508353332,1.22956984242
41,41,15,0,85,18,59,121.197965815,124.345336915,120.853142566,35.5729729742,34.287999201,36.7793343848,255,255,255,3,7,5,2.0452883987,2.26025627126,1.65845041534,0.317149901232,0.293620224685,0.314885554192
42,42,7,4,10,1,0,117.68036569,124.483922813,127.570116912,33.1995716225,32.5268829437,33.5938211125,255,255,255,11,13,12,4.40937020318,3.73041641941,3.24021537606,1.81248438673,1.20235647861,0.725852133451
43,43,28,4,338,47,189,105.483220897,109.562116883,110.711992397,30.6597413023,26.1959893961,25.2357782514,255,255,255,16,17,12,4.22349544912,6.18484091795,6.73562975093,1.84081662629,1.35170926111,0.793232785313
44,44,3,2,25,15,0,88.2997372639,96.5901776522,103.962528075,44.6999247683,43.0746503113,41.5948827684,255,255,255,32,36,31,4.70157018957,4.8991072158,4.84941942889,2.33690972618,2.40134544963,2.38874043913
45,45,4,7,100,27,0,127.605198713,133.627287551,136.824113246,27.0164781248,27.5153680163,29.1187279005,255,255,255,22,21,19,4.20181462318,3.39455977172,3.11487988226,0.863250598422,-0.0833702409123,-0.746572710976
46,46,1,4,0,0,0,99.5665372343,118.260697003,122.483952866,61.1856056051,50.0457677463,47.3159116755,255,255,255,17,25,20,0.437006161107,1.03333099521,1.20040339719,1.29860726167,1.47637118163,1.50470621442
47,47,13,16,48,3,33,119.876709569,123.56605093,125.265144422,60.2738218573,55.433334791,52.5519146948,255,255,255,7,12,5,-0.819512233012,-0.59028397263,-0.287287926141,0.298139181249,0.426937014164,0.566109511748
48,48,5,10,66,24,0,121.297451211,128.471602746,130.798692685,40.7982539747,36.4681911699,34.2027704357,255,255,255,15,20,21,1.34873581351,1.98753720316,2.47380540655,1.2184864004,1.11256493299,0.764095519387
49,49,0,0,4,15,0,110.010482761,121.213451667,131.638152783,40.7897262422,37.6414194566,35.1012514822,255,255,255,46,55,60,2.89625107712,2.96661353408,2.92101182114,1.8511964539,1.8621926153,1.8456122143
50,50,1,0,0,0,0,138.837698208,142.069576948,142.907933799,27.6142616301,27.2564213675,25.546378399,254,252,253,90,88,87,-0.809029580362,-1.24884566306,-1.19106607969,0.700108330416,0.427363188831,0.450137866668
51,51,9,13,10,35,0,108.344519747,126.635870561,141.33329371,46.6349625955,36.672291425,31.2013650468,255,255,255,4,14,18,0.635491137773,1.47277297679,3.20432583748,1.31621323844,1.0583695731,0.0475134756514
52,52,3,3,20,23,0,126.898156366,128.488565363,128.14575056,19.3619558273,18.8185533047,22.6090782706,255,255,255,26,29,16,7.90500322107,6.14963303189,3.35333160629,1.0732606069,-0.396033475901,-1.25791258057
53,53,2,1,15,6,0,126.071089025,127.103769054,122.307766204,61.8047241561,60.7397569184,63.7361081756,255,255,255,11,13,4,-1.11309747319,-0.968466394424,-0.982734759243,0.304091453492,0.339436271185,0.42941639908
54,54,2,5,22,26,0,99.3985086826,108.02154485,114.638297872,51.0367905376,48.6315231367,47.6841905067,250,251,255,37,40,43,1.04687197223,1.15461238219,1.15759425537,1.51119347937,1.54224418922,1.53704692722
55,55,6,2,59,74,0,114.810866616,120.813369159,123.374256619,38.2976607511,31.1078402779,27.8987424542,255,255,255,19,19,18,2.82529956859,4.40198601192,5.72414217754,1.65605018664,1.66548214257,1.49034507987
56,56,9,3,91,5,93,131.060627785,130.913666695,130.250579867,36.8884957394,38.2263328333,37.8585529372,255,255,255,48,39,27,3.71238007761,2.92105617911,3.46221042194,1.67713336779,1.44295711335,1.58460203458
57,57,2,1,0,0,0,112.901631338,116.827670245,109.962853302,35.4421825878,33.1913732024,34.1800339416,253,252,254,16,18,21,0.149879751993,0.587527498415,0.917743405669,0.307073352318,0.132091252001,0.665182787388
58,58,36,17,143,71,145,103.991002228,103.904937837,99.6332965575,49.9346692523,45.4737816728,45.8774734982,255,255,255,11,12,5,-0.415790462512,0.131700531242,0.408774376468,0.781408113172,0.931171831384,0.929047816327
59,59,6,4,16,55,1,103.41787613,105.965276627,106.299765067,29.5879916835,24.074715323,22.2832747515,255,255,255,21,16,11,8.12727460613,11.0741569868,12.5438410579,2.74819127922,2.97956169635,2.91686723363
60,60,5,4,0,0,0,101.423583042,100.953334771,85.2455132159,57.5572665867,52.4204345584,44.995012161,255,255,240,2,5,2,-1.12038149674,-1.21357884866,-0.615417276994,0.274470261936,-0.0151030008547,0.650050982344
61,61,0,0,1,0,0,89.525343879,90.1422875997,88.6740272674,46.4244817701,44.9846233349,42.5485220119,255,255,255,16,22,20,0.140691831542,0.314415591493,0.687186652713,0.872236300236,0.955442080536,1.09432178529
62,62,6,2,222,28,1,98.0872715147,101.88599789,104.069277455,59.6084570456,58.7277710176,57.5257781627,255,255,255,9,9,6,0.464204631538,0.747526660479,0.983260439223,1.30308151177,1.34514225872,1.37491673543
63,63,7,22,58,15,60,120.166357647,122.007224218,118.465079539,42.0364638405,38.7777459212,38.9927439304,255,255,255,12,19,4,-0.233837550658,0.252332531071,1.0265419375,0.592399237607,0.599637214161,0.65187284775
64,64,5,5,6,0,0,117.427989666,127.218419851,132.941872605,34.6726232699,30.6173283534,28.1346585028,255,255,255,33,27,27,3.2976056763,3.84709369536,4.5077453374,1.84904658098,1.8350352013,1.66436902902
65,65,29,8,267,14,270,131.866635775,133.620997899,128.466577958,25.8182211359,23.5415558407,26.638805195,255,255,255,27,25,13,2.64128750818,2.02362221472,0.676089592358,1.11888006149,0.422666466443,-0.305202111679
66,66,0,0,0,0,0,117.479967726,133.19854348,135.95327918,74.2944680947,61.6371734578,58.3218895815,255,255,255,13,29,26,-1.04440090043,-0.797202349153,-0.679455442756,0.715135100079,0.846684042651,0.900360404231
67,67,10,7,30,4,26,132.590564139,131.677147684,129.77207457,64.8459406513,64.0720444372,64.7294240838,255,255,255,3,9,4,-1.38064695912,-1.354073159,-1.3272232088,-0.151357087335,-0.0837082223713,-0.00590585911956
68,68,4,3,3,0,0,93.0790102816,99.6817472699,100.845316751,53.5671968927,47.7213944832,43.9705904752,255,255,255,1,6,7,-0.949077383443,-0.749987762532,-0.274470321241,0.145527935424,0.24839104806,0.436714605603
69,69,4,2,46,31,14,147.943486903,156.991137975,156.672279271,45.8129068707,49.7619201139,42.5036147273,255,255,255,65,75,84,0.454376872032,-0.998252136747,-0.646126995233,1.14031661944,0.465351933668,0.588324654426
70,70,9,11,15,636,0,121.55567806,124.633764698,125.041441143,38.9853721071,32.4822728054,29.9984151416,255,255,255,36,37,27,1.69315058583,2.55821138254,3.0344602012,1.37549513647,1.46044629979,1.39025626539
71,71,3,2,21,18,0,126.190833321,132.552736091,137.051097381,16.8415342153,18.3332134438,19.453852745,249,248,243,12,20,20,14.0230134298,10.2625649649,9.27970694888,-2.95277115482,-2.60961299077,-2.66525098612
72,72,13,3,56,37,20,112.248435104,120.090269765,97.9938657662,40.1716986144,38.2381269799,37.3829984495,255,255,255,6,11,2,0.0904144727168,0.103315730445,1.04644827295,0.218236777018,-0.0740215133511,0.770522745784
73,73,3,0,20,6,8,88.2581112924,97.3959317938,102.279635483,44.3617047599,39.3858601151,36.8578432546,255,255,255,14,17,18,1.78370376483,2.56284691348,3.14151314129,1.45797401134,1.61808576036,1.6630720065
74,74,1,2,0,4,0,122.865497307,161.382326771,175.852042699,83.8856579207,53.7208822435,36.0578069758,255,255,255,16,37,49,-1.47095466784,-1.13432043658,0.169215309877,0.626635559755,0.594021221494,0.584309889114
75,75,3,1,0,34,0,53.5319956861,65.8467944508,69.0170902893,59.6878835143,56.1975983857,54.8690796884,255,255,255,1,3,2,1.17029600949,1.42381758712,1.58437278583,1.50121436439,1.56970909923,1.60933599948
76,76,5,3,0,0,0,104.877498068,114.339805428,120.024868239,31.5570722131,28.0230109416,27.3523446999,255,255,255,42,37,33,5.44552635106,6.83132655117,6.57797640774,1.86663748217,2.01502799339,1.96408105801
77,77,20,11,136,37,84,121.58053418,126.145766258,124.878564381,43.4921369895,41.5707312195,42.8903058162,255,255,255,30,36,29,0.902804269906,1.61536065212,1.80325843501,1.11912815231,1.41284230345,1.43792443564
78,78,2,2,6,0,5,127.961091625,137.751471192,142.764566552,39.3438936999,31.1994486089,26.2463245724,255,255,255,68,90,97,-1.02205967549,-0.642101494545,-0.00529066453239,0.554910414328,0.611387378141,0.89266854109
79,79,11,5,37,0,26,117.745510048,120.128378226,112.769903901,37.9701825866,36.6815218139,38.7095279388,255,255,255,19,28,6,0.130776793502,0.114400118768,0.0831011641089,0.74614492056,0.61055548215,0.407904309818
80,80,0,12,0,19,0,90.7028750481,92.5929528189,91.1118729791,45.0869506227,44.0890328675,40.8452174598,255,255,255,3,10,3,1.99743356158,1.84624754485,3.27255646357,1.60432285682,1.49941796371,1.73954661137
81,81,1,3,15,0,0,121.685239163,126.234988348,113.009591763,51.2490122551,49.844141185,50.4661647766,253,253,255,1,9,7,-0.317230491402,-0.000947944618666,-0.677591991546,-0.562141552705,-0.784769463565,-0.0633897354332
82,82,0,0,37,17,0,102.16563948,107.4676079,110.824338729,35.2840925907,36.217070517,36.1805404862,255,255,255,21,25,23,4.00790645908,3.35097240452,3.20144941628,1.89599420482,1.72558155596,1.60883340667
83,83,5,2,44,44,0,107.564567008,112.564043318,112.320070907,46.1707878629,43.6697818927,43.131766083,255,255,255,3,7,7,1.24131920641,1.66519829529,1.98308046882,1.27953393683,1.25665115095,1.2459153576
84,84,1,1,0,12,0,128.259897288,131.025027628,134.396831109,10.9731801064,10.9784577908,10.8367986756,255,255,255,37,36,28,59.2970048616,48.9257034795,44.5603817067,6.05847406151,4.70405284235,3.75135328229
85,85,0,1,0,0,0,109.769112696,113.076774804,107.978951553,42.2257323518,38.0878891952,37.113529609,239,243,246,15,21,15,-0.615710123919,-0.112542792797,1.29529473198,0.592632029633,0.727785788398,1.05340778098
86,86,2,2,4,2,2,98.0365703938,113.853927125,120.394825002,47.5772370225,40.979894458,37.793838665,255,255,255,14,18,18,1.38340579959,1.84622469506,2.35561763238,1.41364117379,1.38703964196,1.32681780633
87,87,7,1,43,16,0,106.738472874,115.202251983,117.897867756,28.2504931944,23.5898688535,21.8421310238,255,255,255,20,24,21,3.88197735796,4.99410687421,5.59967869951,1.70137012137,1.66561315789,1.48782557589
88,88,1,2,1,24,0,78.5356286991,82.4847502402,82.0811726326,44.9680912369,41.4682897379,41.2770256148,255,255,255,5,9,8,3.6547823215,4.65137037155,4.99790170231,1.88248891959,2.05412862878,2.13171108304
89,89,1,1,1,0,0,106.360374565,120.440653899,125.318092235,8.46394690912,10.691500315,9.21918525814,249,253,254,50,47,45,16.3833747024,4.92923132907,8.70312293821,1.47323296782,-0.634515031185,-1.26809088947
90,90,1,0,17,12,0,89.0608255326,109.098529597,113.491612897,52.4724659212,45.5624563987,45.1964482169,255,255,255,6,9,11,1.38884578843,1.50323123971,1.37930893795,1.47788261529,1.42431367644,1.37977290474
91,91,17,0,229,1,157,122.148710276,124.260287426,121.881700526,45.4347836256,43.321492437,44.5655592855,255,255,255,24,30,15,-0.0716738365688,0.461246437519,0.677436884815,0.796577881358,0.862599416581,0.794210499348
92,92,3,5,1,1,1,124.749297097,129.771024946,134.420242159,18.3842032034,17.1123738556,17.6084050384,255,255,255,35,33,34,13.0021293605,11.1650818058,8.97726060698,2.54455265643,1.00740842761,-0.387297565801
93,93,24,21,144,99,62,110.493946853,109.110757434,107.428082831,63.332237331,63.45705987,64.0406241452,255,255,255,9,9,3,-0.866905124462,-0.746110777091,-0.622991874781,0.618980467715,0.715091882656,0.785575686802
94,94,4,4,17,0,0,123.647532861,135.189511278,141.493806533,33.7683867195,27.1171114731,24.6905719919,255,255,255,54,81,79,-0.347484531886,0.0222546877694,0.210846722448,0.389174246404,0.711977011975,0.807248421702
95,95,5,0,19,58,0,133.73227808,139.279640393,139.100061841,32.0631311013,26.2259950683,23.9359224363,255,255,255,15,20,19,2.0055588829,3.38257572569,4.94341934125,1.60937898867,1.44499452854,0.481807604792
96,96,9,3,167,5,0,129.423196093,141.335624928,148.378656975,39.8645536354,34.1905411668,30.4179597327,255,255,255,34,39,39,1.22051761518,1.59077469474,2.07159273621,1.13936895928,1.17734334029,1.14484161727
97,97,0,0,19,11,0,113.626747376,116.160063167,114.743501875,48.0183167837,47.7921929529,48.1759588789,255,255,255,13,18,15,0.224797477628,0.409009653339,0.737038482311,0.944733395174,0.934389093087,1.02287036252
98,98,0,6,0,0,0,94.0425238557,98.6599957681,101.836441933,37.8805546357,36.230453678,37.0202532606,255,255,255,11,14,3,4.27606975357,4.84064842565,4.24503572619,1.91998796501,1.94198770333,1.61650544767
99,99,3,1,13,68,0,129.348153202,142.89522085,151.370090943,74.8592368536,62.4014513502,53.7481895559,255,255,255,21,31,32,-1.31420396315,-1.10940213887,-0.907699631156,0.575493624682,0.639944241227,0.682310570663
100,100,12,3,50,4,27,134.087616648,139.483639196,130.651353052,22.1565188992,20.0326935283,20.7683876023,255,255,255,56,56,58,3.22694318361,2.65122602474,3.12503237621,1.5224153544,1.0814564458,0.722836625066
101,101,10,0,85,56,0,105.86279051,106.458461585,106.814462902,46.9227038044,44.4996718439,43.1765599455,255,255,255,32,27,13,1.88036484855,2.58854544418,3.00477531561,1.63913209847,1.7992963339,1.8927780989
102,102,13,0,92,3,73,105.715643513,106.920089929,103.355694895,44.6143129599,43.0758298845,44.0362356036,253,254,255,2,3,1,-0.567424822771,-0.495920595887,-0.42649316399,-0.142285858739,-0.0681591661369,0.0896347270339
103,103,3,0,0,0,0,114.422824415,121.584685138,123.169017946,35.2209118842,31.2584812485,30.8392776974,255,255,255,46,48,46,1.82805566032,2.7636401411,3.04257352622,1.55422780853,1.61064719361,1.67446439749
104,104,3,3,38,43,0,95.5954488753,110.81435463,125.059848191,63.7048640975,55.4243800632,45.5723711594,255,255,255,23,36,49,0.150894112058,0.433294846929,1.09334262805,1.17818094295,1.29864203859,1.37301740844
105,105,2,0,33,17,3,129.194672234,133.206141704,137.741237224,22.4557211643,20.5938975406,17.8339763043,255,255,255,35,34,35,8.17178234255,8.10091696112,8.36309545543,2.47790937135,2.14225171117,1.05308994204
106,106,0,4,0,5,0,114.982319907,119.888013239,123.40597286,28.6426508084,25.034730353,24.5839895386,255,255,255,21,19,20,3.35268138038,4.53341620965,4.41108176485,1.26893746673,1.49213618631,1.34917364484
107,107,7,11,3,1,2,110.803695998,114.225118193,114.470159291,33.6016593376,27.3479895867,22.4397401149,255,255,254,26,35,34,0.537570542193,0.87832876837,2.07901692842,1.22752009906,0.926512373103,0.78447221678
108,108,4,4,0,3,0,116.213639025,134.262569133,140.069774076,56.1693156834,44.5612357823,40.9396521231,255,255,255,23,29,29,0.101839288392,0.858139295516,1.19705203355,1.16162348777,1.35426204787,1.39921510381
109,109,4,2,35,4,27,112.517630377,122.293528187,126.542436715,32.2453462791,28.7920686192,27.1531409129,255,255,255,61,70,77,4.29108932401,5.69508437233,6.68872346212,1.96553510496,2.20333023444,2.41085123168
110,110,16,8,95,13,80,126.100529843,133.721207302,126.215555942,42.1454426793,35.7001178698,41.1182444782,255,255,255,26,36,30,-0.035487223089,1.15198525603,0.63140259538,0.622190081847,0.797714875373,0.661947256379
111,111,23,9,123,40,80,127.271545369,129.124403228,122.71571279,20.9410905668,22.9818547506,25.2480516234,255,255,255,32,42,21,4.08089163122,1.38659517538,0.137677797304,0.783113931135,0.167418981781,-0.218961744449
112,112,11,20,387,190,0,137.786782034,141.470187025,139.707442327,68.8109748321,65.1682682896,65.9013217643,255,255,255,12,15,3,-1.27055658586,-1.06870519592,-1.02862397376,0.180121453923,0.260480773416,0.338186980588
113,113,0,9,10,3,0,85.66661241,95.0638841483,104.867848124,38.1999845958,38.3702607038,38.2940816562,254,254,255,27,30,33,5.29797570162,4.75214302697,4.03016632286,2.37552113735,2.27652957747,2.05455776106
114,114,5,7,12,0,9,133.207565956,133.775295878,132.848126748,48.1408590158,47.3580502805,46.1455704792,255,255,255,16,26,9,-0.731041552733,-0.532331919556,0.0669223666397,0.583265673587,0.527907775605,0.695205930708
115,115,0,13,0,4,0,93.76581049,91.7918576162,90.5934905684,53.4212213084,54.7392160306,55.7047032355,255,255,255,14,18,19,0.913512502707,0.986433454891,1.08898451917,1.25278414911,1.32913530201,1.38510877748
116,116,0,0,4,9,0,136.989750922,137.76785356,138.284607783,26.752394502,24.3785728126,23.3896672162,255,255,255,24,22,25,3.0035920111,3.48332489508,3.56528681575,1.38711123644,1.493641549,1.51787222243
117,117,0,1,1,0,0,97.9424791501,106.510718687,108.495042704,40.2295336874,37.3224395132,35.8817119762,255,255,255,9,17,15,2.82924150059,3.41464810332,4.16473156228,1.55902725063,1.69966953576,1.79103937448
118,118,1,1,10,43,0,150.906176076,152.109118943,149.307200932,50.0033409199,49.8227589943,49.7810587564,255,255,255,58,60,51,-0.264465510238,-0.258938096175,-0.0173556324253,0.829229483322,0.839225725971,1.04395270259
119,119,7,7,19,2,11,107.886780872,112.424629053,111.205143935,54.3771302573,50.0449007746,47.362730427,255,255,255,7,11,13,-0.920849888638,-0.804419552487,-0.506780296757,0.158101334541,0.212885431054,0.426057003684
120,120,2,0,5,1,3,83.5902972573,91.1401332191,95.2601043532,44.0326540051,41.9982799468,40.4624304545,255,255,255,9,13,11,1.39790124298,1.691374513,2.50430573325,1.16897008399,1.22256560888,1.41997226362
121,121,6,1,90,7,67,131.118379285,130.757588788,129.250241536,37.1273087484,36.8089065024,36.5227361087,255,255,255,24,21,22,0.00684878615684,0.322812578127,0.924302551342,0.503144635513,0.338854619188,0.332529011381
122,122,11,43,40,15,0,115.990933583,115.523517423,113.959184384,57.7856696951,56.7220353025,57.050280555,255,255,255,12,12,6,-1.06004507154,-0.818808182831,-0.609443582367,0.330122424736,0.467983392035,0.591318415826
123,123,0,0,1,0,0,106.076278218,117.905251566,129.698041404,65.1249151445,59.1778581452,44.9398150288,255,255,255,15,28,41,-0.799756764513,-0.810784583106,-0.00835762668292,0.752631809879,0.761387012829,0.905832086118
124,124,19,8,104,84,46,145.682518752,146.220928681,141.110809786,63.2180889793,66.184498594,71.2829024872,255,255,255,12,14,17,-1.20201323014,-1.22983998088,-1.35557307877,0.235322918045,0.214680968997,0.263494812914
125,125,6,1,36,29,8,16.7852164688,34.8512572455,40.7139768465,19.9199405811,17.1136933152,15.5644744742,254,255,255,1,5,7,40.2757536171,42.1394394655,46.0832920083,6.04626291573,5.90219578319,6.00980653554
